city	location	location_keyword
London	2 Willow Road	2 willow road
London	Kempton Park Racecourse	kempton park racecourse
London	Tavistock Square	tavistock square
London	Holborn	holborn
London	BT Tower (The British Telecom Tower)	bt tower the british telecom tower
London	Burgh House	burgh house
London	Savile Row	savile row
London	City of London Information Centre	city of london information centre
London	Christ Church Spitalfields	christ church spitalfields
London	Hill Garden & Pergola	hill garden pergola
London	Loftus Road Stadium	loftus road stadium
London	Sutton House	sutton house
London	Tricycle Theatre	tricycle theatre
London	Hampstead Theatre	hampstead theatre
London	Blackheath	blackheath
London	Whitechapel Gallery	whitechapel gallery
London	Sunday Up Market	sunday up market
London	Paul Smith Sale Shop	paul smith sale shop
London	Abney Park Cemetery	abney park cemetery
London	Tower Hamlets Cemetery Park	tower hamlets cemetery park
London	Battersea Power Station	battersea power station
London	Paternoster Square	paternoster square
London	Kayaking & Canoeing (5)	kayaking canoeing
London	Horseback Riding Tours (9)	horseback riding tours
London	Old St Pancras Church	old st pancras church
London	Deen City Farm	deen city farm
London	Estorick Collection of Modern Italian Art	estorick collection of modern italian art
London	Shaftesbury Avenue	shaftesbury avenue
London	Australian War Memorial	australian war memorial
London	Bowling Alleys (12)	bowling alleys
London	Health/Fitness Clubs & Gyms (61)	health fitness clubs gyms
London	Wine Bars (16)	wine bars
London	Sloane Street	sloane street
London	Wimbledon Greyhound Stadium	wimbledon greyhound stadium
London	Virgin Money London Marathon	virgin money london marathon
London	Grosvenor Square	grosvenor square
London	Trinity Hill Memorial	trinity hill memorial
London	Eventim Apollo	eventim apollo
London	Polka Theatre for Children	polka theatre for children
London	Mansion House of City of London	mansion house of city of london
London	Dance Clubs & Discos (42)	dance clubs discos
London	Lambeth Palace	lambeth palace
London	London Wall	london wall
London	Lincoln's Inn Fields	lincoln s inn fields
London	Ealing Broadway Shopping Centre	ealing broadway shopping centre
London	Stoke Newington	stoke newington
London	St Paul's Church	st paul s church
London	St Pancras Parish Church	st pancras parish church
London	Bunhill Fields	bunhill fields
London	Copper Box Arena	copper box arena
London	St. Stephen Walbrook	st stephen walbrook
London	Adelphi Theatre	adelphi theatre
