userScreen_name	userLexiconScore	avg_isRT	avg_nUsers	avg_nLinks	avg_nHashtags	avg_nEmoticons	avg_nAllCap	avg_nEnlongatedW	avg_tweetLength	avg_wordLength	avg_nSingularP
aidanhaley	9.49916127708	0.289868667917	0.283927454659	0.133833646029	0.0262664165103	0.00312695434647	0.147279549719	0.0353345841151	5.0	4.39186016175	0.377736085053
aIejandrooo	15.6728291684	0.414507772021	0.718911917098	0.0699481865285	0.331606217617	0.00259067357513	1.40414507772	0.0544041450777	6.0	4.40004258037	0.15414507772
aiiileena	11.7079685695	0.643449419569	0.6135986733	0.0945273631841	0.0398009950249	0.00497512437811	0.749585406302	0.0298507462687	6.0	4.14530345001	0.30679933665
AiraPlatino	16.7546445162	0.201003449357	0.295076826591	0.0884289746002	0.148008780182	0.00595798055817	0.233301975541	0.043900909376	6.0	4.24809073032	0.0445280652242
airel_beeez	13.6108608931	0.699704627502	0.288152280932	0.309156547424	0.0439776829669	0.000656383327863	0.409911388251	0.0177223498523	5.0	4.36549871264	0.194289465048
AishaDini	9.69295337753	0.384964355152	0.359688917693	0.112119248218	0.0408295528192	0.00388852883992	0.256642903435	0.0375891121192	6.0	4.60461424489	0.274789371355
aish_sr	13.4400523686	0.491428571429	0.0980952380952	0.239047619048	0.220952380952	0.00190476190476	0.290476190476	0.0238095238095	7.0	4.61946111608	0.193333333333
Ajaondope	10.802540115	0.274233637117	0.318144159072	0.0952775476388	0.026512013256	0.0	0.0770505385253	0.0455675227838	5.0	4.23785540211	0.238608119304
ajmargallo	19.4084781666	0.0516917293233	0.152568922306	0.695802005013	1.46585213033	0.401629072682	0.812343358396	0.0325814536341	11.0	4.38834553601	0.0451127819549
Akashi_senpai	16.8395212251	0.360425132854	0.420443888715	0.268834010628	0.0290715848703	0.00312597686777	0.422006877149	0.0181306658331	5.0	4.19117916184	0.250078149422
AkiraPhenicia	19.4209651017	0.366009280742	0.265081206497	0.07656612529	0.228538283063	0.000580046403712	0.121229698376	0.0638051044084	7.0	4.73679154659	0.249419953596
AkiShaColey	11.7287150278	0.0	0.380952380952	0.0	0.047619047619	0.047619047619	0.238095238095	0.119047619048	10.0	3.98468271335	0.452380952381
Alanamak	23.3912239173	0.0	0.0623841877702	0.0	0.627547869055	0.00370599135269	1.82087708462	0.0191476219889	14.0	4.85413130488	0.0506485484867
AlbertJohn201	28.3307677245	0.0491803278689	0.573770491803	0.803278688525	0.770491803279	0.0	0.147540983607	0.0	8.0	5.2380952381	0.540983606557
AleenaKibria	17.2911094236	0.909006499536	0.222841225627	0.0145465800062	0.709996904983	0.0145465800062	2.03404518725	0.0241411327762	9.0	4.69126954891	0.15475085113
AlejandraaaaaaC	16.5845381006	0.333125389894	0.262632563943	0.0630068621335	0.0249532127261	0.0	0.129444791017	0.0801621958827	8.0	4.34389616464	0.428259513412
Aleuxs__	20.1187551321	0.59422539584	0.181931077305	0.131325675256	0.0443961502639	0.00155231294629	0.16330332195	0.0552623408879	6.0	4.28418579071	0.228190003105
Alex3726	20.636393659	0.40380761523	0.659318637275	0.631596526386	2.56045424182	0.0146960587842	0.639278557114	0.0140280561122	10.0	4.98608787259	0.181362725451
AlexaBelmonte	15.445530952	0.442863916548	0.658605974395	0.178283546705	0.162636320531	0.00189663347558	0.229018492176	0.0872451398767	5.0	4.53930481283	0.203888098625
AlexaNicholson2	12.913086755	0.273353422299	0.342229875161	0.0662935858803	0.287559190702	0.00172191132157	0.188549289712	0.0180800688765	7.0	4.37509055447	0.434352130865
alexbwallace17	11.6803705605	0.298526315789	0.337263157895	0.0505263157895	0.162947368421	0.00168421052632	0.0997894736842	0.0261052631579	6.0	4.27737138021	0.373052631579
