word	counts	topic_cluster
@bbcnews	168	7
hijab	160	7
tube_@bbcnews	159	7
arrested	153	7
counter	139	7
counter_terrorism	138	7
terrorism_arrest	138	7
woman's	135	7
bbc	134	7
man_arrested	133	7
alert	132	7
woman's_hijab	132	7
news	127	7
tube_station	124	7
security	110	7
bbc_news	110	7
suspect	109	7
middle	107	7
middle_oxford	107	7
near	106	7
#bbcworld	105	7
@bbcnews_#bbcworld	105	7
#bbcworld_@c0nvey	105	7
suspect_device	104	7
device_found	103	7
security_alert	101	7
tree_middle	99	7
planted	98	7
planted_tree	97	7
blockchain	97	7
wonderful	95	7
cathedral	94	7
wonderful_message	94	7
message	94	7
reuters	94	7
street_wonderful	94	7
year-old	92	7
year-old_man	92	7
pull	92	7
underground	92	7
device_year-old	91	7
paul's_cathedral	91	7
paul's	91	7
plant	90	7
muslim	90	7
target	88	7
greenwich_suspect	88	7
affordable_collaboration	87	7
beckham_announced	87	7
affordable	87	7
collaboration_target	87	7
announced_affordable	87	7
announced	87	7
collaboration	87	7
man_tried	86	7
tried	86	7
headscarf	85	7
target_victoria	85	7
grabbed	85	7
pull_headscarf	84	7
greater	871	8
ben	694	8
big	691	8
big_ben	679	8
station	480	8
bridge	412	8
westminster	394	8
palace	301	8
tower	291	8
ben_palace	224	8
palace_westminster	213	8
photo	209	8
posted	199	8
posted_photo	193	8
tower_bridge	187	8
railway_station	168	8
railway	168	8
@nationalrailenq	159	8
park	147	8
station_@nationalrailenq	135	8
cross	126	8
king's_cross	123	8
king's	123	8
#bigben	103	8
united	100	8
united_kingdom	92	8
kingdom	92	8
hyde	91	8
hyde_park	91	8
eye	90	8
@nationalrailenq_greater	90	8
underground	88	8
international	87	8
paddington	84	8
underground_station	82	8
arch	81	8
marble	80	8
marble_arch	80	8
modern	75	8
city	72	8
houses	66	8
station_greater	65	8
victoria	63	8
south	62	8
greater_greater	60	8
tate	60	8
tate_modern	59	8
bomb	57	8
paddington_station	56	8
olympic	56	8
pancras	55	8
dirty_big	54	8
olympic_bomb	54	8
soho	54	8
dirty	54	8
ben_olympic	54	8
cross_station	54	8
passing	53	8
seconds_#space	52	8
space	52	8
space_station	52	8
#space	52	8
international_space	52	8
seconds	52	8
overhead	52	8
overhead_bridge	52	8
bridge_seconds	52	8
passing_overhead	52	8
station_passing	52	8
parliament	51	8
bank	47	8
south_bank	46	8
photo_big	46	8
abbey	46	8
bankside	45	8
soho_greater	45	8
buckingham_palace	44	8
buckingham	44	8
england	44	8
modern_bankside	43	8
westminster_abbey	43	8
houses_parliament	40	8
close	39	8
might	38	8
station_well	38	8
well	38	8
equipped_chambers	37	8
centre_hyde	37	8
close_paddington	37	8
greenwich	37	8
equipped	37	8
well_equipped	37	8
lake_havasu	37	8
park_close	37	8
#travel	37	8
havasu	37	8
centre	37	8
chambers	37	8
lake	37	8
bank_greater	37	8
bus	846	9
bridge	836	9
hits	655	9
bus_hits	634	9
people	622	9
hits_bridge	612	9
tottenham	453	9
injuring	382	9
injuring_people	382	9
bridge_tottenham	377	9
roof	374	9
tottenham_injuring	374	9
double-decker	367	9
double-decker_bus	342	9
nail-biting	312	9
nail-biting_gopro	312	9
gopro	312	9
climbs_roof	312	9
climbs	312	9
man	311	9
man_climbs	311	9
gopro_footage	304	9
footage	304	9
tate_modern	292	9
tate	292	9
modern	292	9
modern_nail-biting	292	9
roof_tate	290	9
injured	241	9
injuries	212	9
injuries_double-decker	209	9
multiple_injuries	209	9
multiple	209	9
five	191	9
crashes	178	9
bus_crashes	178	9
taken	169	9
geek's_paradise	158	9
weird	158	9
hospital	158	9
costume	158	9
geek's	158	9
paradise	158	9
wonderful_costume	158	9
wonderful	158	9
costume_geek's	158	9
sure	158	9
inside_weird	158	9
paradise_sure	158	9
weird_wonderful	158	9
inside	158	9
taken_hospital	157	9
sure_could	156	9
could_stick	156	9
could	156	9
stick	156	9
sexy	152	9
stick_sexy	152	9
cat	150	9
sexy_cat	150	9
railway_bridge	144	9
railway	144	9
cat_ears	144	9
ears	144	9
